movie_id,title,year,genre,duration_min,rating,votes,director,country,language,budget_usd,revenue_usd,metascore,keywords
1,Sable Parable of Storms,1995,Romance,110,7.6,1419241,Zoe Garcia,Mexico,English,8098630,201209005,27,memory;warrior;coming-of-age;identity
2,Neon Circle,1994,History,146,8.2,13728,Ethan Ramirez,India,German,41836211,462382781,97,friendship;revenge;haunted;underground;double-life
3,Yearning Zodiac of Glass,2009,Musical,106,9.7,793944,Sophia Scott,South Korea,Chinese,168849210,776605304,73,mountains;revenge;time-travel;ai
4,The Ember,1986,Crime,146,5.0,765208,Ethan White,Brazil,French,179998778,573330498,89,warrior;ancient-ritual;heist
5,Luminous Room from Nowhere,2004,Mystery,131,7.1,117410,Elijah Williams,India,Japanese,71971145,142138944,27,space;ancient-ritual;forbidden-love;haunted;dreams
6,Tempest Palace of Ashes,1995,Musical,142,7.6,898590,Aria Sanchez,Brazil,French,37233144,1094199380,63,city-night;time-travel;double-life
7,Infinite Symphony,2007,Sport,91,4.4,1249768,Charlotte King,Japan,Hindi,3181913,245997989,87,city-night;ancient-ritual;road-trip;friendship;myth
8,Eternal Tempest In the Machine,1996,Western,120,5.5,223259,Alexander Green,Spain,Spanish,100471734,346923914,69,warrior;road-trip;forbidden-love
9,The Parable,1999,Romance,89,3.1,1189933,Sophia Garcia,Norway,Chinese,18679092,1143977779,98,betrayal;ai;forbidden-love;identity
10,Lunar Citadel Under Neon Lights,2007,Horror,126,7.3,836847,Owen Lewis,Sweden,Polish,66646657,482533863,8,coming-of-age;survival;identity;cyberpunk;revenge
11,Xenial Fall of Tomorrow,1982,Documentary,93,5.6,584109,Grace Wilson,Germany,Swedish,153388213,1015053308,31,small-town;robot;space;friendship;family-secrets;ai
12,Eternal Interval from Nowhere,1983,Action,90,4.6,711669,Mia Thomas,Spain,French,144058110,963390270,17,heist;post-apocalypse;detective;cyberpunk;revenge;double-life
13,Mythic Odyssey from the Future,1980,Thriller,135,2.5,1018563,Hannah Wilson,Australia,English,44294440,813838577,0,post-apocalypse;small-town;dreams;detective;myth;robot
14,Wandering Room,2025,War,114,2.7,456651,Emma Nguyen,UK,Swedish,84282651,122761493,6,memory;double-life;rebellion;heist;time-travel;dreams
15,Feral Voyage of Tomorrow,2023,Romance,178,2.1,1194795,Oliver Nguyen,UK,Portuguese,22107253,900278641,84,rebellion;post-apocalypse;space;ai;mountains
16,Vivid Beacon of Ashes,2022,Animation,192,3.8,152233,Ava Robinson,France,Polish,144420136,457745397,64,betrayal;rebellion;underground;dreams;revenge
17,Quantum Junction from Nowhere,2014,Animation,210,1.1,1163185,Alexander Nelson,France,Spanish,71092030,247881174,13,post-apocalypse;myth;warrior;space
18,Xenial Harbor Beyond the Gate,1996,Western,200,3.2,106633,Sophia Green,Mexico,Chinese,74370783,94675606,0,city-night;betrayal;ancient-ritual;post-apocalypse;heist
19,Zephyr Oracle of Light,2015,Drama,103,1.7,1449273,Harper Wright,UK,Chinese,99210661,1186538609,18,betrayal;time-travel;myth;underground;small-town;dreams
20,Yearning Zephyr,2002,Musical,179,9.7,324221,Oliver Hernandez,Italy,Japanese,6753539,385174089,94,small-town;rebellion;robot;ai;double-life
21,Zephyr Beacon After Midnight,2024,Action,172,8.8,987208,Elijah Gonzalez,Sweden,Italian,82024049,488757597,28,ai;space;haunted
22,The Drift,1997,Adventure,205,4.6,1124625,Mateo Johnson,France,German,48033933,570084674,4,warrior;robot;underground
23,Young Gambit from the Past,1987,Crime,123,3.3,1486530,Michael Smith,Spain,Italian,115875514,150267605,85,warrior;road-trip;ai;double-life;friendship
24,Young Frontier Beyond the Stars,2006,Documentary,178,7.2,1162787,Amelia Gonzalez,Mexico,Russian,101876035,373720866,78,haunted;identity;family-secrets;coming-of-age;myth
25,Timeless Zephyr Under the Moon,2018,Documentary,194,4.9,1416993,Lucas Allen,Norway,Norwegian,197658147,364409490,84,myth;memory;ai
26,Sable Dawn Before Dawn,1995,Animation,132,8.2,309123,Liam Williams,Poland,Korean,164187607,156397432,58,dreams;ancient-ritual;survival;space;mountains;small-town
27,Broken Ritual of Ashes,2021,Drama,102,7.9,459043,Mason King,Sweden,English,149727479,535149219,15,betrayal;small-town;detective;ai;memory;identity
28,The Gambit,2019,Western,184,8.4,1149070,Emily Hernandez,Norway,Korean,69676201,530943288,81,city-night;memory;forbidden-love;ancient-ritual;cyberpunk
29,Sacred Oracle of Silence,1995,Mystery,160,3.8,1132881,Sophia Rodriguez,Germany,French,102920253,328146801,90,revenge;robot;road-trip;identity
30,Glacial Monolith Before Dawn,2006,Crime,80,8.6,1207410,Wyatt Walker,USA,Italian,80258223,837489948,53,forbidden-love;cyberpunk;post-apocalypse;robot
31,Iridescent Echo Beyond the Stars,2023,Crime,117,8.5,267754,Maya Wright,USA,Japanese,158985007,58201215,10,betrayal;double-life;detective;heist;time-travel;post-apocalypse
32,Broken Gambit of Echoes,2001,Crime,146,7.7,884185,James Garcia,Norway,English,144899199,111852976,44,ancient-ritual;revenge;city-night;time-travel
33,Dark Beacon of Shadows,2019,Sci-Fi,136,2.1,1404056,Isabella Torres,Spain,Korean,187861199,550279151,98,heist;warrior;sea;mountains;friendship
34,Lunar Frontier of Shadows,1999,Biography,171,4.5,1499594,Logan Jones,Poland,Polish,187251321,647643874,87,small-town;survival;time-travel
35,Yearning Uprising of Time,1984,Western,162,1.1,881027,Grace Miller,Mexico,Italian,170713577,987282730,90,robot;heist;sea;memory
36,The Drift,2010,History,186,8.3,1242609,Benjamin Lee,Poland,Chinese,23363394,598993846,57,city-night;detective;survival;warrior
37,Umbral Kingdom from the Sea,2000,Fantasy,199,2.9,541904,Mateo Moore,Japan,Hindi,2824918,1109448574,24,cyberpunk;sea;robot
38,Iridescent Vesper,2021,War,189,8.1,195247,Henry Anderson,Australia,Swedish,65411732,657572445,84,forbidden-love;identity;memory;underground;robot
39,Zephyr Vesper Between Worlds,2009,Mystery,153,3.2,253133,Logan Lee,France,Swedish,143944886,397606269,24,sea;forbidden-love;post-apocalypse;survival
40,Kaleidoscopic Zodiac of the North,1992,Animation,133,4.2,634001,Ava Wright,Germany,German,12318027,117093731,70,mountains;betrayal;ancient-ritual;double-life;city-night
41,Iridescent Odyssey,2010,War,187,4.0,107844,James Walker,France,Chinese,17640494,860512673,62,survival;ancient-ritual;ai
42,Crimson Symphony Under the Moon,1999,Thriller,138,2.1,872880,Nora Hill,Poland,Norwegian,140376996,816855596,57,myth;double-life;survival;robot;rebellion;dreams
43,Radiant Garden,1993,Horror,142,6.9,329472,Oliver Lopez,Canada,Spanish,818259,877284806,57,myth;time-travel;cyberpunk;rebellion;mountains;family-secrets
44,Wandering Palace of Fire,1996,Biography,125,4.8,1142130,Elijah Adams,Germany,German,38281262,153351463,7,small-town;myth;warrior;sea
45,Nocturnal Ember from Nowhere,2024,Animation,178,9.4,1049666,Zoe Young,Sweden,Polish,160634244,85600382,55,warrior;post-apocalypse;coming-of-age;revenge;cyberpunk
46,Velvet Wilderness of Shadows,2023,Mystery,85,7.8,367501,Hannah King,Sweden,German,48818120,936055873,81,revenge;forbidden-love;underground;robot;road-trip;small-town
47,Umbral Odyssey,2024,War,148,6.9,839909,Layla Williams,Sweden,Polish,84527556,542022401,41,city-night;haunted;double-life
48,Jagged Horizon,2006,Comedy,123,5.6,1305857,Grace Green,Sweden,Norwegian,13954431,437137994,34,rebellion;myth;detective;dreams
49,Wandering Ritual Beyond the Gate,2018,Romance,115,3.8,28777,Layla Clark,Canada,French,30556987,990951798,15,forbidden-love;rebellion;mountains;myth
50,Jagged Circle Before Dawn,2010,War,137,5.1,303436,Wyatt Gonzalez,Germany,Chinese,18839501,593236780,98,road-trip;small-town;memory;post-apocalypse;coming-of-age;myth
51,Young Frontier,2022,War,113,5.0,1015837,Jack Perez,Australia,Korean,86476449,405127880,89,survival;haunted;cyberpunk;double-life
52,Distant Empire from the Sea,2025,Crime,173,9.8,1367482,Harper Young,UK,Spanish,134932753,712953193,12,friendship;memory;detective;coming-of-age;sea;betrayal
53,Distant Rise,1996,Documentary,176,6.8,689151,Zoe Harris,India,Russian,193029239,1047859234,69,warrior;revenge;cyberpunk
54,The Mask,1985,Family,100,7.8,1476266,Mia Lewis,Italy,Swedish,80487312,62163759,5,small-town;time-travel;myth;underground;robot
55,Kindred Beacon Under the Moon,2023,Fantasy,118,2.6,1278296,Wyatt Flores,Poland,Korean,156640051,307342969,29,ancient-ritual;post-apocalypse;detective;dreams;ai;coming-of-age
56,Glacial Ember,2008,Adventure,151,6.7,889940,James Robinson,South Korea,French,103365306,1037681410,13,haunted;survival;underground;myth
57,Wandering Ember Before Dawn,2022,Crime,145,1.1,1438325,Emma Hill,Norway,Chinese,76924657,494175487,77,cyberpunk;ancient-ritual;space;warrior;post-apocalypse
58,Velvet City,1988,Action,85,3.7,924573,Noah Nguyen,Brazil,Swedish,35375588,193559947,37,sea;robot;heist;space;betrayal
59,Luminous Junction At World's Edge,1997,Fantasy,140,9.1,1010608,Henry Perez,France,Korean,20313018,302273390,96,double-life;ai;sea;haunted
60,Mythic Junction of Wolves,1980,Mystery,106,5.0,1411123,James Nguyen,Australia,Chinese,171509263,797733569,13,forbidden-love;coming-of-age;warrior;dreams
61,Mythic Gambit,1984,History,152,6.8,244787,Amelia Williams,UK,German,132337914,249366835,12,dreams;identity;betrayal;haunted
62,Glacial Junction,2014,Family,114,8.9,1373570,Mia Young,Mexico,German,8882211,795707038,27,detective;cyberpunk;double-life;underground;friendship;ai
63,Zen Uprising,1983,Crime,145,2.7,256287,Charlotte Garcia,Spain,Russian,171762572,45864788,6,cyberpunk;betrayal;small-town;survival;space
64,Electric City Under the Moon,1993,Romance,159,7.9,1249964,Ava Moore,Germany,Spanish,145112983,538275790,22,ai;double-life;coming-of-age
65,Jade Horizon After Midnight,1995,Biography,157,1.1,556616,Emma Rodriguez,Mexico,Hindi,30607502,136489842,60,city-night;underground;memory;survival;friendship;detective
66,Jagged Arcade,2022,Western,152,5.1,65427,Emma Walker,Australia,Japanese,184272894,231846259,62,revenge;dreams;rebellion;road-trip;warrior;betrayal
67,Electric Requiem Beyond the Gate,2017,Musical,158,4.4,1252921,Chloe Jackson,Sweden,Hindi,162618017,923846020,12,double-life;ancient-ritual;dreams
68,Mythic Room,1994,Family,161,8.4,836297,Jacob Miller,India,Japanese,83992407,547371670,47,ai;rebellion;forbidden-love;revenge
69,Feral Mirage of the North,2003,Sci-Fi,90,6.2,1177832,Layla Perez,France,Japanese,95018261,908249979,92,myth;warrior;underground
70,Hidden Wilderness of Ashes,2022,War,132,8.5,734342,Layla White,France,Norwegian,74877585,485672952,54,warrior;rebellion;ai
71,Wandering Drift of Storms,2024,Animation,161,4.1,380535,Harper Torres,Australia,Polish,38184186,65835623,11,haunted;robot;detective;road-trip
72,Lunar Junction of Echoes,2016,Sport,96,8.9,326374,Ethan Flores,UK,Russian,21999374,584336404,56,forbidden-love;warrior;detective;robot;post-apocalypse;space
73,Jagged Parable of the North,1998,Biography,199,5.7,646902,Noah Anderson,Australia,Portuguese,14805420,16507894,26,space;city-night;betrayal;post-apocalypse;myth
74,Vivid Parable In the Machine,2007,Fantasy,108,4.4,1475805,Elijah Allen,Brazil,Polish,106687980,90843416,55,detective;rebellion;revenge
75,Vivid Wilderness of Wolves,2025,Family,149,2.0,43839,Sebastian Hernandez,Sweden,Chinese,185215785,777072740,11,double-life;friendship;cyberpunk;robot;survival;haunted
76,Kaleidoscopic Mirage of Silence,2001,Romance,160,7.9,160279,Victoria Green,France,Hindi,136989214,416405030,99,underground;sea;family-secrets;ancient-ritual;betrayal
77,Quantum Odyssey of Winter,1991,Sport,114,7.8,1374802,Olivia Lopez,Norway,Korean,151426590,964016698,87,double-life;ancient-ritual;road-trip;betrayal;detective
78,Electric Quarry of Silence,1997,Biography,89,4.1,155689,Alexander Robinson,Sweden,English,15371307,791857962,36,ancient-ritual;double-life;revenge
79,Radiant Zodiac from Nowhere,2017,Musical,85,5.0,1198950,Logan Lee,Norway,Hindi,40596460,132872767,57,small-town;dreams;family-secrets
80,Wild Circle Beyond the Gate,1991,Comedy,138,7.3,921634,Chloe King,Italy,Italian,100186691,607509343,49,city-night;road-trip;ai;warrior;time-travel;ancient-ritual
81,Tempest Harbor of the North,2015,Crime,147,3.2,1377014,Nora Martinez,India,Polish,156527947,303715132,44,ancient-ritual;mountains;ai;haunted;betrayal
82,Paradox Circle,2004,Documentary,107,7.0,1437518,Chloe Garcia,Mexico,Hindi,97227490,39149787,46,heist;space;road-trip;city-night;forbidden-love
83,Neon Arcade,1998,Action,204,7.9,1104316,Noah Nelson,India,Norwegian,166001559,281425678,76,betrayal;heist;dreams;family-secrets;mountains;city-night
84,Radiant Tempest,2003,Romance,188,6.4,941570,Elijah Wright,Poland,German,126000416,416646571,47,detective;city-night;myth;dreams;haunted;memory
85,Kaleidoscopic Monolith,2018,Sci-Fi,139,1.5,1007971,Owen Scott,France,Swedish,138588371,267743472,36,city-night;heist;post-apocalypse
86,Flickering Sanctum of Light,1985,Romance,190,8.9,56031,Jacob Brown,Australia,Hindi,100484523,506329555,49,underground;cyberpunk;coming-of-age
87,Vivid Odyssey,1989,Sci-Fi,84,3.6,990909,Amelia Walker,Sweden,Portuguese,1509606,170136059,2,space;family-secrets;betrayal;identity;sea
88,Paradox Triangle In the Garden,1998,Romance,152,2.1,500143,Jacob Green,Sweden,Polish,29858188,1073375075,76,ancient-ritual;memory;survival
89,Quantum Circle of Light,1980,Sport,165,3.1,873705,Mason Nelson,Canada,Hindi,96898834,145340236,67,haunted;double-life;forbidden-love
